Name,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB
AiyoshiShimizu1984Ex2,900.302730336,78974,0,130891,0,5.0,-38.125
AllendeStill2013,900.008255234,76740,0,145854,0,1.0,0.01171875
Bard1988Ex1,47.477694708,70660,13068,0,0,17.0,16.943679150277717
Bard1988Ex3,900.015290113,66743,0,98604,0,-12.68,-44.375
Bard1991Ex1,900.176808137,269281,7457,64855,0,2.0,2.0
BardBook1998,900.02021853,69493,0,102206,0,0.0,-0.0
CalamaiVicente1994a,0.260491114,7647,1613,0,0,0.0,-0.0
ClarkWesterberg1990a,0.392019924,6562,775,0,0,5.0,4.904727935791016
Colson2002BIPA1,900.003064794,214736,40,377229,0,250.0,227.996826171875
Colson2002BIPA2,900.006248817,272591,46690,96381,0,17.0,16.879135370254517
Colson2002BIPA3,5.10207218,27627,6822,0,0,2.0,1.9902700796147315
Colson2002BIPA4,900.003128604,213721,17326,312771,0,88.79,83.80125379152892
Colson2002BIPA5,429.038096934,170742,24339,0,0,2.75,2.646940880068892
DeSilva1978,900.00161897,148425,7,192735,0,-1.0,-1.5
Dempe1992a,900.047582602,82106,0,67824,0,NaN,-9.375
Dempe1992b,0.710462414,8924,862,0,0,31.25,27.631103515625
DempeDutta2012Ex24,0.028496324,375,64,0,0,0.0,-0.0
DempeDutta2012Ex31,900.019209831,111859,40,95766,0,-1.0,-2.40625
DempeEtal2012,0.033124129,189,70,0,0,-1.0,-1.0
DempeFranke2011Ex41,5.828757686,7898,1264,0,0,5.0,4.3726959228515625
DempeFranke2011Ex42,900.010107842,87346,550,36267,0,2.13,0.5334625244140625
DempeFranke2014Ex38,900.010493898,87151,11904,64863,0,-1.0,-2.875
DempeLohse2011Ex31a,900.009150274,127672,1,207072,0,-5.5,-7.21875
FalkLiu1995,900.002390381,148747,7,193166,0,-2.1962,-3.875
FloudasEtal2013,900.006954624,79512,0,109797,0,0.0,-33.4375
FloudasZlobec1998,900.028429444,75033,74,73510,0,1.0,0.37890625
GumusFloudas2001Ex1,900.007034937,200039,145,384982,0,2250.0,-0.0
GumusFloudas2001Ex4,0.064822599,183,32,0,0,9.0,7.22265625
GumusFloudas2001Ex5,900.052262439,89392,224,65304,0,0.194,0.1
HatzEtal2013,900.00484997,303227,56266,55878,0,0.0,-0.3125
HendersonQuandt1958,900.002685999,226285,0,399439,0,-3266.67,-3349.7830360168737
HenrionSurowiec2011,900.038959636,197319,69036,95316,0,0.0,-0.0
IshizukaAiyoshi1992a,89.252563088,92248,18344,0,0,0.0,-0.152587890625
KleniatiAdjiman2014Ex3,0.051005935,678,249,0,0,-1.0,-1.03125
LamparielloSagratella2017Ex23,68.512116176,115457,2926,0,0,-1.0,-1.0
LamparielloSagratella2017Ex31,0.049113229,2217,335,0,0,1.0,1.0
LamparielloSagratella2017Ex32,0.078103514,2451,416,0,0,0.5,0.236328125
LamparielloSagratella2017Ex33,1.298063039,9754,2094,0,0,0.5,0.4150390625
LamparielloSagratella2017Ex35,0.032691821,258,47,0,0,0.8,0.66015625
LuDebSinha2016b,0.222049326,142,31,0,0,0.0,0.01763916015625
LuDebSinha2016d,900.008671611,100753,0,102981,0,NaN,-200.0
LuDebSinha2016e,2.748904655,19409,4172,0,0,NaN,1.7777777777777777
LuDebSinha2016f,900.179356969,261124,0,191351,0,NaN,-200.0
LucchettiEtal1987,0.062185346,163,67,0,0,0.0,-0.0
MacalHurter1997,900.000627152,246127,0,369720,0,81.327,78.50048600250001
Mirrlees1999,0.166450256,2784,879,0,0,1.002,0.7119140625
MitsosBarton2006Ex310,0.307191305,2530,818,0,0,0.5,0.25
MitsosBarton2006Ex311,1.084962453,7480,2120,0,0,-0.8,-0.8
MitsosBarton2006Ex312,0.054322265,512,219,0,0,0.0,-0.3125
MitsosBarton2006Ex313,0.056589252,412,158,0,0,-1.0,-1.375
MitsosBarton2006Ex314,0.03723354,424,152,0,0,0.25,0.015625
MitsosBarton2006Ex315,0.037246284,170,53,0,0,0.0,-0.0625
MitsosBarton2006Ex316,0.04380622,262,77,0,0,-2.0,-2.25
MitsosBarton2006Ex317,0.037927263,158,73,0,0,0.1875,-0.0
MitsosBarton2006Ex318,0.046496596,655,154,0,0,-0.25,-1.0
MitsosBarton2006Ex319,0.044156644,278,113,0,0,-0.258,-0.6875
MitsosBarton2006Ex320,0.049102068,629,223,0,0,0.3125,0.078125
MitsosBarton2006Ex321,0.094210363,461,136,0,0,0.2095,0.009999999999999995
MitsosBarton2006Ex322,0.0877054,595,154,0,0,0.2095,-0.0
MitsosBarton2006Ex323,900.000507985,104560,83,42599,0,0.176,0.0625
MitsosBarton2006Ex324,0.039639135,90,22,0,0,-1.755,-1.921875
MitsosBarton2006Ex38,0.060452834,1073,388,0,0,0.0,-0.0
MitsosBarton2006Ex39,0.03525002,1503,256,0,0,-1.0,-1.078125
MorganPatrone2006a,0.033705783,325,135,0,0,-1.0,-1.03125
MuuQuy2003Ex1,200.972978868,103535,28726,0,0,-2.0769,-2.5125083923339844
NieWangYe2017Ex34,900.002603151,272779,1552,183001,0,2.0,1.9609375
NieWangYe2017Ex61,900.002061074,113539,0,96468,0,-1.022,-3.3905748277902603
Outrata1990Ex1a,900.005744456,65971,0,112140,0,-8.92,-12.450496875
Outrata1990Ex1b,900.021940196,67832,0,108203,0,-7.56,-12.5096138671875
Outrata1990Ex1c,900.000093731,75828,0,146879,0,-12.0,-12.46875
Outrata1990Ex1d,900.003642201,77293,0,130742,0,-3.6,-12.478390000000001
Outrata1990Ex1e,900.024511663,54996,0,99763,0,-3.15,-10.602847500000001
Outrata1990Ex2a,900.006019609,196115,0,204696,0,0.5,0.2823486328125
Outrata1990Ex2b,900.004138426,207269,0,191441,0,0.5,0.2823486328125
Outrata1990Ex2c,900.003434269,218164,0,215455,0,1.86,0.36786753125000016
Outrata1990Ex2d,900.009058031,177063,0,152976,0,0.92,-0.0
Outrata1990Ex2e,900.007982619,204473,0,183069,0,0.9,-0.0
Outrata1993Ex31,900.001425921,205795,0,210159,0,1.56,0.44459814164238304
Outrata1993Ex32,900.003858888,223689,127,256629,0,3.208,2.4840810452045923
Outrata1994Ex31,900.008546356,209600,2314,222142,0,3.208,2.3828125
OutrataCervinka2009,900.017102998,48875,0,91907,0,0.0,-11.25
