Name,n_x,n_y,n_g,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB,F_rel,Width_W_Boxes
AiyoshiShimizu1984Ex2,2,2,2,1800.216607471,115081,0,192692,0,5.0,-35.3125,1.1415929203539823,50.0
AllendeStill2013,2,2,2,1800.009780053,113358,0,212778,0,1.0,0.01171875,0.98828125,10.5
Bard1988Ex1,1,1,3,323.988577701,168005,33740,0,0,17.0,16.95159837137261,0.0028471546251405003,0.0
Bard1988Ex3,2,2,2,1800.008533696,100091,0,138712,0,-12.68,-36.953125,0.656862579281184,10.0
Bard1991Ex1,1,2,1,1800.176445161,394405,9301,126495,0,2.0,2.0,0.0,2.0
BardBook1998,2,2,3,1800.021676927,100506,0,148525,0,0.0,-0.0,0.0,50.0
CalamaiVicente1994a,1,1,3,0.778637687,14731,2748,0,0,0.0,-0.0,0.0,0.0
ClarkWesterberg1990a,1,1,3,1.161293855,13142,1511,0,0,5.0,4.951767921447754,0.009646415710449219,0.0
Colson2002BIPA1,1,1,1,1800.01085047,311505,97,533568,0,250.0,238.64364624023438,0.0454254150390625,5.0
Colson2002BIPA2,1,1,3,1800.00507764,342173,57775,172105,0,17.0,16.92197036743164,0.004589978386374081,3.993408203125
Colson2002BIPA3,1,1,1,20.531284402,55388,13577,0,0,2.0,1.9970735295794988,0.0014632352102506019,0.0
Colson2002BIPA4,1,1,1,1800.004382953,303986,19609,465170,0,88.79,83.9699691862123,0.054285739540350375,10.0
Colson2002BIPA5,1,2,2,1800.001503468,292282,41880,31275,0,2.75,2.395885923465586,0.12876875510342325,0.740419921875
DeSilva1978,2,2,0,1800.008312837,223552,0,250916,0,-1.0,-1.5,0.3333333333333333,20.0
Dempe1992a,2,2,1,1800.02035339,127627,0,107243,0,NaN,-6.875,NaN,20.0
Dempe1992b,1,1,1,2.4120653,18286,1579,0,0,31.25,27.631103515625,0.1158046875,0.0
DempeDutta2012Ex24,1,1,1,0.029593775,375,64,0,0,0.0,-0.0,0.0,0.0
DempeDutta2012Ex31,2,2,2,1800.004128406,170135,11,101303,0,-1.0,-2.40625,0.5844155844155844,1.5060937500000002
DempeEtal2012,1,1,0,0.044259709,505,190,0,0,-1.0,-1.0,0.0,0.0
