Name,n_x,n_y,n_g,Time,Iterations,O_len,O_I_len,W_len,F_Best,F_LB,F_rel,Width_W_Boxes
AiyoshiShimizu1984Ex2,2,2,2,94.572489388,45619,8620,7758,0,5.0,4.1875,0.1625,0.0
AllendeStill2013,2,2,2,5400.003015987,226133,0,0,298997,1.0,0.38671875,0.61328125,1.0
BardBook1998,2,2,3,5400.026378814,173505,0,0,200805,0.0,-0.0,0.0,1.0
DeSilva1978,2,2,0,65.885355974,38565,8985,8981,0,-1.0,-1.30859375,0.23582089552238805,0.0
Dempe1992a,2,2,1,5400.050325716,347862,37138,20952,79171,NaN,-0.375,NaN,0.53515625
DempeDutta2012Ex31,2,2,2,5400.001457036,364022,37341,20730,212157,-1.0,-1.5,0.3333333333333333,1.0
DempeFranke2011Ex41,2,2,1,4.291567754,6003,1311,1236,0,5.0,4.6328125,0.0734375,0.0
DempeFranke2011Ex42,2,2,2,12.807601163,11116,1222,735,0,2.13,2.761962890625,-0.22880933439405998,0.0
DempeFranke2014Ex38,2,2,1,2600.066802787,247620,97915,97915,0,-1.0,-1.078125,0.07246376811594203,0.0
DempeLohse2011Ex31a,2,2,2,5400.013036881,260544,19949,18870,226309,-5.5,-6.1484375,0.10546378653113088,1.0
FalkLiu1995,2,2,0,2.63206852,6361,1057,1041,0,-2.1962,-2.818908773652742,0.22090419508178538,0.0
FloudasEtal2013,2,2,3,5400.047347518,240508,0,0,416025,0.0,-0.1875,1.0,0.5
LuDebSinha2016d,2,2,3,1731.362710792,340209,83764,83764,0,NaN,Inf,NaN,0.0
Outrata1990Ex1a,2,2,2,5400.056444353,139037,0,0,190275,-8.92,-10.313371875000001,0.13510342610427797,1.0
Outrata1990Ex1b,2,2,2,5400.09694323,147691,0,0,151898,-7.56,-9.340996875000002,0.19066454028762342,1.0
Outrata1990Ex1c,2,2,2,5400.049721696,194089,0,0,368659,-12.0,-12.060546875,0.005020242914979757,1.0
Outrata1990Ex1d,2,2,2,5400.010260253,161242,0,0,233170,-3.6,-5.819936875000001,0.38143658989428475,1.0
Outrata1990Ex1e,2,2,2,5400.022832596,102624,0,0,176234,-3.15,-6.170910000000001,0.4895404405509075,1.0000000000000004
ShimizuAiyoshi1981Ex2,2,2,0,5400.011176642,265181,0,0,354945,225.0,209.517822265625,0.06880967881944444,1.0
